game_pk,game_datetime,away_team,home_team,team,opponent,is_home,player_id,player_name,lineup_status,batting_order,expected_pa,opposing_starter_id,batter_hr_pa_long,batter_barrel_pa_long,batter_barrel_bbe_long,batter_hard_air_pa_long,batter_sweet_pa_long,batter_k_rate_long,batter_bb_rate_long,batter_xwoba_long,batter_ev90_long,batter_hr_pa_recent,batter_barrel_pa_recent,batter_barrel_bbe_recent,batter_hard_air_pa_recent,batter_sweet_pa_recent,batter_k_rate_recent,batter_bb_rate_recent,batter_xwoba_recent,batter_ev90_recent,batter_hand,pitcher_hr_bf,pitcher_barrel_bf,pitcher_hard_air_bf,pitcher_fly_rate,pitcher_k_rate,pitcher_bb_rate,pitcher_xwoba,pitcher_ev90,pitcher_outs,opposing_pitcher_hand,bvp_pa,bvp_hr,bvp_barrels,bvp_hr_shrunk,bvp_barrel_shrunk,bvp_reliability,same_hand,venue,temperature_f,humidity_pct,wind_speed_mph,precipitation_in,roof_control_factor,park_hr_factor,home_run_probability,fair_odds,point,over_odds,under_odds,over_book,under_book,over_no_vig_probability,under_no_vig_probability,line,market_edge,ev_per_unit,signal
822687,2026-09-01 22:45:00+00:00,ATL,WSH,ATL,WSH,0,686948,Drake Baldwin,confirmed,1.0,4.75,663623,0.03018867924528302,0.06037735849056604,0.043596730245231606,0.20754716981132076,0.27547169811320754,0.18490566037735848,0.09433962264150944,0.3460255747222222,98.34516666666667,0.03076923076923077,0.06153846153846154,0.047619047619047616,0.26153846153846155,0.23076923076923078,0.26153846153846155,0.06153846153846154,0.3295340266666667,97.86933333333333,L,0.0375,0.065625,0.203125,0.5255813953488372,0.221875,0.1125,0.35020005152798805,101.27333333333333,14.333333333333334,R,5.0,0.0,1.0,0.026666666666666665,0.07555555555555556,0.1111111111111111,0,Nationals Park,93.3,42.0,4.3,0.0,0.0,1.2393034825870648,0.13333367169509602,650,0.5,370.0,,BetRivers,,,,0.5,,-0.37333174303304867,PASS
824391,2026-09-01 22:40:00+00:00,TOR,CLE,CLE,TOR,1,666176,Jo Adell,confirmed,4.0,4.45,693686,0.038910505836575876,0.06614785992217899,0.05014749262536873,0.17898832684824903,0.2529182879377432,0.24124513618677043,0.07003891050583658,0.3267817047222222,97.6115,0.057971014492753624,0.10144927536231885,0.07216494845360824,0.2028985507246377,0.2028985507246377,0.2028985507246377,0.10144927536231885,0.39417142777777775,101.82866666666665,R,0.027777777777777776,0.041666666666666664,0.1388888888888889,0.4752475247524752,0.1388888888888889,0.041666666666666664,0.2856081472370766,99.328,9.6,R,2.0,0.0,0.0,0.02857142857142857,0.05714285714285714,0.047619047619047616,1,Progressive Field,87.6,61.0,9.2,0.0,0.0,0.9613045881702598,0.12980986240462525,670,0.5,410.0,,BetRivers,,,,0.5,,-0.3379697017364113,PASS
823661,2026-09-01 23:40:00+00:00,DET,MIN,MIN,DET,1,665019,Kody Clemens,confirmed,3.0,4.55,675512,0.050980392156862744,0.0784313725490196,0.05698005698005698,0.25882352941176473,0.25882352941176473,0.23529411764705882,0.06274509803921569,0.3393172591666667,97.69816666666665,0.05084745762711865,0.11864406779661017,0.0875,0.3389830508474576,0.288135593220339,0.23728813559322035,0.06779661016949153,0.4397890833333334,98.89266666666667,L,0.027777777777777776,0.041666666666666664,0.16111111111111112,0.44759825327510916,0.21388888888888888,0.06944444444444445,0.2769044215371616,101.86466666666666,18.066666666666666,R,3.0,1.0,0.0,0.051162790697674425,0.05581395348837209,0.06976744186046512,0,Target Field,85.1,44.0,5.7,0.0,0.0,0.7630269704111025,0.129801565114875,670,0.5,475.0,,BetRivers,,,,0.5,,-0.2536410005894688,PASS
824716,2026-09-01 22:45:00+00:00,SEA,BOS,BOS,SEA,1,701350,Roman Anthony,confirmed,1.0,4.75,693433,0.0,0.04316546762589928,0.041379310344827586,0.15827338129496402,0.15827338129496402,0.23741007194244604,0.1510791366906475,0.3372605107526882,98.3151612903226,0.0,0.031746031746031744,0.028169014084507043,0.15873015873015872,0.14285714285714285,0.20634920634920634,0.1746031746031746,0.35583212,96.454,L,0.03151862464183381,0.04871060171919771,0.22063037249283668,0.5264227642276422,0.2492836676217765,0.05157593123209169,0.3089741312752838,101.028,16.533333333333335,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Fenway Park,66.5,89.0,0.7,0.0,0.0,0.9872857932559426,0.1262139895754133,692,0.5,475.0,,BetRivers,,,,0.5,,-0.2742695599413736,PASS
822687,2026-09-01 22:45:00+00:00,ATL,WSH,ATL,WSH,0,671739,Michael Harris II,confirmed,4.0,4.45,663623,0.03488372093023256,0.046511627906976744,0.03278688524590164,0.18992248062015504,0.20930232558139536,0.18992248062015504,0.027131782945736434,0.29383055055555557,97.82600000000002,0.04838709677419355,0.06451612903225806,0.046511627906976744,0.1935483870967742,0.16129032258064516,0.1935483870967742,0.016129032258064516,0.30635829333333336,96.32733333333333,L,0.0375,0.065625,0.203125,0.5255813953488372,0.221875,0.1125,0.35020005152798805,101.27333333333333,14.333333333333334,R,6.0,0.0,0.0,0.02608695652173913,0.05217391304347826,0.13043478260869565,0,Nationals Park,93.3,42.0,4.3,0.0,0.0,1.2393034825870648,0.1259647728895128,694,0.5,360.0,,BetRivers,,,,0.5,,-0.4205620447082411,PASS
824391,2026-09-01 22:40:00+00:00,TOR,CLE,CLE,TOR,1,800050,Chase DeLauter,confirmed,2.0,4.65,693686,0.022900763358778626,0.04580152671755725,0.03333333333333333,0.17938931297709923,0.2366412213740458,0.17557251908396945,0.09541984732824428,0.33697607416666664,98.88650000000001,0.015625,0.03125,0.021052631578947368,0.109375,0.25,0.171875,0.078125,0.2938373633333333,97.16333333333333,L,0.027777777777777776,0.041666666666666664,0.1388888888888889,0.4752475247524752,0.1388888888888889,0.041666666666666664,0.2856081472370766,99.328,9.6,R,1.0,0.0,0.0,0.029268292682926828,0.058536585365853655,0.024390243902439025,0,Progressive Field,87.6,61.0,9.2,0.0,0.0,0.9613045881702598,0.12031304550885112,731,0.5,525.0,,BetRivers,,,,0.5,,-0.2480434655696805,PASS
824472,2026-09-01 22:40:00+00:00,SD,CIN,CIN,SD,1,680574,Matt McLain,confirmed,5.0,4.3,681190,0.03571428571428571,0.07142857142857142,0.06374501992031872,0.16517857142857142,0.29910714285714285,0.3080357142857143,0.09375,0.2991654319444444,91.1855,0.03333333333333333,0.05,0.03896103896103896,0.18333333333333332,0.38333333333333336,0.23333333333333334,0.06666666666666667,0.28098530222222223,94.38066666666667,R,0.03289473684210526,0.0756578947368421,0.26644736842105265,0.5487528344671202,0.10526315789473684,0.06578947368421052,0.3655454832079972,101.35333333333332,14.333333333333334,R,0.0,0.0,0.0,0.03,0.06,0.0,1,Great American Ball Park,94.5,35.0,3.8,0.0,0.0,0.8368682901283059,0.1200472000663074,733,0.5,500.0,,BetRivers,,,,0.5,,-0.27971679960215556,PASS
824391,2026-09-01 22:40:00+00:00,TOR,CLE,CLE,TOR,1,608070,José Ramírez,confirmed,3.0,4.55,693686,0.018726591760299626,0.0149812734082397,0.010416666666666666,0.2247191011235955,0.23220973782771537,0.12734082397003746,0.09737827715355805,0.3246069447222223,98.10466666666669,0.014925373134328358,0.0,0.0,0.23880597014925373,0.23880597014925373,0.1791044776119403,0.08955223880597014,0.31362155333333336,98.25866666666667,L,0.027777777777777776,0.041666666666666664,0.1388888888888889,0.4752475247524752,0.1388888888888889,0.041666666666666664,0.2856081472370766,99.328,9.6,R,1.0,0.0,0.0,0.029268292682926828,0.058536585365853655,0.024390243902439025,0,Progressive Field,87.6,61.0,9.2,0.0,0.0,0.9613045881702598,0.11009146511816144,808,0.5,425.0,,BetRivers,,,,0.5,,-0.4220198081296524,PASS
823661,2026-09-01 23:40:00+00:00,DET,MIN,MIN,DET,1,680777,Ryan Jeffers,confirmed,4.0,4.45,675512,0.04597701149425287,0.07662835249042145,0.056179775280898875,0.19157088122605365,0.2796934865900383,0.1532567049808429,0.12260536398467432,0.35661944333333334,98.07733333333334,0.029411764705882353,0.07352941176470588,0.050505050505050504,0.20588235294117646,0.35294117647058826,0.16176470588235295,0.1323529411764706,0.3375160122222223,98.70266666666667,R,0.027777777777777776,0.041666666666666664,0.16111111111111112,0.44759825327510916,0.21388888888888888,0.06944444444444445,0.2769044215371616,101.86466666666666,18.066666666666666,R,0.0,0.0,0.0,0.03,0.06,0.0,1,Target Field,85.1,44.0,5.7,0.0,0.0,0.7630269704111025,0.10739977430192678,831,0.5,700.0,,BetRivers,,,,0.5,,-0.14080180558458577,PASS
823661,2026-09-01 23:40:00+00:00,DET,MIN,MIN,DET,1,686797,Brooks Lee,confirmed,2.0,4.65,675512,0.040160642570281124,0.020080321285140562,0.013262599469496022,0.19678714859437751,0.23293172690763053,0.1646586345381526,0.05622489959839357,0.26841787305555553,95.65450000000001,0.08333333333333333,0.05,0.031578947368421054,0.25,0.3,0.16666666666666666,0.0,0.29652524444444445,97.48266666666667,L,0.027777777777777776,0.041666666666666664,0.16111111111111112,0.44759825327510916,0.21388888888888888,0.06944444444444445,0.2769044215371616,101.86466666666666,18.066666666666666,R,3.0,1.0,0.0,0.051162790697674425,0.05581395348837209,0.06976744186046512,0,Target Field,85.1,44.0,5.7,0.0,0.0,0.7630269704111025,0.1051730387782506,851,0.5,600.0,,BetRivers,,,,0.5,,-0.2637887285522458,PASS
824391,2026-09-01 22:40:00+00:00,TOR,CLE,CLE,TOR,1,663993,Nathaniel Lowe,confirmed,5.0,4.3,693686,0.03734439834024896,0.04979253112033195,0.03428571428571429,0.16597510373443983,0.27800829875518673,0.22821576763485477,0.07883817427385892,0.3113486919444445,95.37716666666665,0.03125,0.046875,0.03296703296703297,0.15625,0.28125,0.15625,0.046875,0.28246311444444444,96.67333333333335,L,0.027777777777777776,0.041666666666666664,0.1388888888888889,0.4752475247524752,0.1388888888888889,0.041666666666666664,0.2856081472370766,99.328,9.6,R,0.0,0.0,0.0,0.03,0.06,0.0,0,Progressive Field,87.6,61.0,9.2,0.0,0.0,0.9613045881702598,0.10456809806369287,856,0.5,550.0,,BetRivers,,,,0.5,,-0.32030736258599635,PASS
