game_pk,player_id,actual_batter_hits,actual_batter_total_bases,actual_batter_home_runs,actual_pitcher_strikeouts,actual_pitcher_outs,actual_pitcher_hits_allowed
823983,670167,,,,,,
823983,670245,,,,1.0,3.0,1.0
823983,670280,,,,3.0,3.0,1.0
823983,671111,,,,,,
823983,671218,0.0,0.0,0.0,,,
823983,671277,0.0,0.0,0.0,,,
823983,672282,,,,8.0,21.0,6.0
823983,672724,0.0,0.0,0.0,,,
823983,676609,1.0,1.0,0.0,,,
823983,676620,,,,0.0,1.0,0.0
823983,677347,,,,,,
823983,680570,,,,,,
823983,682987,0.0,0.0,0.0,,,
823983,684665,,,,1.0,2.0,5.0
823983,685133,0.0,0.0,0.0,,,
823983,687093,2.0,5.0,1.0,,,
823983,687263,0.0,0.0,0.0,,,
823983,687396,,,,,,
823983,690829,,,,1.0,3.0,0.0
823983,693645,,,,9.0,24.0,2.0
823983,694203,,,,,,
823983,694208,1.0,4.0,1.0,,,
823983,695681,0.0,0.0,0.0,,,
823983,695684,,,,,,
823983,696270,,,,,,
823983,696519,,,,,,
823983,700250,2.0,2.0,0.0,,,
823983,700712,,,,,,
823983,701542,,,,,,
823983,806146,,,,,,
823983,815083,,,,,,
823983,820862,,,,,,
824068,518886,,,,1.0,3.0,1.0
824068,521692,1.0,4.0,1.0,,,
824068,543238,,,,,,
824068,571912,,,,,,
824068,607625,,,,,,
824068,608379,,,,,,
824068,621016,,,,0.0,1.0,2.0
824068,640459,,,,,,
824068,645261,,,,,,
824068,656638,,,,1.0,3.0,2.0
824068,656848,,,,1.0,3.0,0.0
824068,663738,,,,,,
824068,663878,,,,1.0,3.0,2.0
824068,663969,,,,,,
824068,664728,0.0,0.0,0.0,,,
824068,665052,2.0,2.0,0.0,,,
824068,665923,0.0,0.0,0.0,,,
824068,667652,,,,0.0,3.0,0.0
824068,668834,,,,,,
824068,668942,,,,,,
824068,669065,2.0,5.0,1.0,,,
824068,670231,1.0,1.0,0.0,,,
824068,671162,,,,1.0,2.0,1.0
824068,672640,1.0,3.0,0.0,,,
824068,674444,,,,,,
824068,676083,,,,,,
824068,676510,,,,,,
824068,676534,,,,0.0,3.0,0.0
824068,676604,,,,,,
824068,677870,,,,,,
824068,677951,1.0,1.0,0.0,,,
824068,677976,,,,,,
824068,679845,1.0,1.0,0.0,,,
824068,680767,,,,,,
824068,681715,2.0,4.0,0.0,,,
824068,682663,0.0,0.0,0.0,,,
824068,683090,,,,,,
824068,683357,,,,,,
824068,686469,0.0,0.0,0.0,,,
824068,686475,,,,,,
824068,686555,,,,,,
824068,686681,2.0,3.0,0.0,,,
824068,687134,,,,,,
824068,687473,,,,,,
824068,688363,,,,,,
824068,690978,,,,,,
824068,691587,,,,3.0,14.0,9.0
824068,691594,3.0,6.0,1.0,,,
824068,691788,1.0,1.0,0.0,,,
824068,691858,1.0,1.0,0.0,,,
824068,694795,,,,1.0,3.0,0.0
824068,695506,1.0,2.0,0.0,,,
824068,695600,2.0,8.0,2.0,,,
824068,702070,,,,7.0,15.0,5.0
824068,805300,1.0,4.0,1.0,,,
824068,806188,,,,1.0,1.0,0.0
824147,502054,0.0,0.0,0.0,,,
824147,514888,0.0,0.0,0.0,,,
824147,543877,0.0,0.0,0.0,,,
824147,545341,0.0,0.0,0.0,,,
824147,572233,0.0,0.0,0.0,,,
824147,595345,,,,,,
824147,607200,,,,,,
824147,622491,,,,,,
824147,623352,,,,1.0,3.0,0.0
824147,641743,,,,,,
824147,643217,0.0,0.0,0.0,,,
824147,650556,,,,,,
824147,656794,,,,2.0,6.0,2.0
824147,656986,,,,,,
824147,660853,,,,,,
824147,662139,1.0,1.0,0.0,,,
824147,663436,,,,3.0,17.0,5.0
824147,663542,,,,,,
824147,663567,,,,,,
824147,663855,,,,,,
824147,664299,,,,,,
824147,664353,,,,,,
824147,664774,0.0,0.0,0.0,,,
824147,665161,1.0,1.0,0.0,,,
824147,666211,0.0,0.0,0.0,,,
824147,668670,,,,,,
824147,669397,0.0,0.0,0.0,,,
824147,669713,,,,5.0,21.0,1.0
824147,669854,,,,,,
824147,670541,2.0,3.0,0.0,,,
824147,670623,1.0,1.0,0.0,,,
824147,670950,,,,,,
824147,671976,2.0,4.0,0.0,,,
824147,673237,,,,,,
824147,676369,1.0,1.0,0.0,,,
824147,676694,0.0,0.0,0.0,,,
824147,678246,0.0,0.0,0.0,,,
824147,678906,,,,,,
824147,680732,,,,,,
824147,682668,,,,,,
824147,686613,,,,,,
824147,686668,,,,,,
824147,691011,0.0,0.0,0.0,,,
824147,691799,,,,,,
824147,695657,0.0,0.0,0.0,,,
824147,695731,0.0,0.0,0.0,,,
824147,696146,,,,,,
824147,699823,,,,0.0,1.0,0.0
824147,701358,1.0,1.0,0.0,,,
824147,803011,0.0,0.0,0.0,,,
824147,805123,,,,0.0,3.0,2.0
824147,805326,,,,,,
824147,805367,0.0,0.0,0.0,,,
824147,808959,1.0,1.0,0.0,,,
824147,814490,,,,,,
824147,837227,,,,,,
824390,453286,,,,,,
824390,543807,1.0,2.0,0.0,,,
824390,547179,,,,,,
824390,573009,,,,,,
824390,595978,,,,0.0,5.0,3.0
824390,608070,0.0,0.0,0.0,,,
824390,623149,,,,1.0,3.0,0.0
824390,643511,,,,,,
824390,656302,,,,4.0,18.0,4.0
824390,656492,,,,,,
824390,660821,0.0,0.0,0.0,,,
824390,663893,,,,2.0,3.0,0.0
824390,663993,0.0,0.0,0.0,,,
824390,664702,2.0,3.0,0.0,,,
824390,664770,2.0,2.0,0.0,,,
824390,665489,3.0,7.0,1.0,,,
824390,665926,2.0,2.0,0.0,,,
824390,666176,0.0,0.0,0.0,,,
824390,667755,,,,,,
824390,668909,,,,,,
824390,669701,1.0,4.0,1.0,,,
824390,670036,,,,,,
824390,670059,,,,,,
824390,671106,,,,,,
824390,671922,,,,,,
824390,672275,2.0,2.0,0.0,,,
824390,672386,0.0,0.0,0.0,,,
824390,672578,,,,2.0,6.0,3.0
824390,672960,0.0,0.0,0.0,,,
824390,676282,,,,6.0,16.0,9.0
824390,676391,1.0,1.0,0.0,,,
824390,676440,,,,,,
824390,677587,,,,,,
824390,678218,,,,,,
824390,680755,,,,2.0,3.0,2.0
824390,680757,0.0,0.0,0.0,,,
824390,681293,,,,,,
824390,681807,1.0,1.0,0.0,,,
824390,681870,,,,,,
824390,682120,,,,,,
824390,682177,0.0,0.0,0.0,,,
824390,682657,0.0,0.0,0.0,,,
824390,683769,,,,,,
824390,683953,0.0,0.0,0.0,,,
824390,684974,,,,,,
824390,686973,,,,,,
824390,689254,,,,,,
824390,690984,0.0,0.0,0.0,,,
824390,693686,,,,,,
824390,694197,0.0,0.0,0.0,,,
824390,694357,,,,,,
824390,703520,1.0,1.0,0.0,,,
824390,800048,,,,,,
824390,800050,3.0,4.0,0.0,,,
824390,807727,1.0,1.0,0.0,,,
824390,815873,1.0,1.0,0.0,,,
824634,571510,,,,,,
824634,573204,,,,2.0,3.0,0.0
824634,592332,,,,,,
824634,592885,2.0,3.0,0.0,,,
824634,596142,0.0,0.0,0.0,,,
824634,605280,,,,,,
824634,607067,,,,0.0,2.0,2.0
824634,608324,2.0,5.0,1.0,,,
824634,608348,,,,,,
824634,621053,,,,,,
824634,621438,1.0,1.0,0.0,,,
824634,622608,,,,0.0,3.0,0.0
824634,624424,0.0,0.0,0.0,,,
824634,641343,0.0,0.0,0.0,,,
824634,650644,,,,,,
824634,656730,,,,2.0,3.0,1.0
824634,656849,,,,4.0,11.0,7.0
824634,657097,,,,0.0,1.0,1.0
824634,661388,2.0,2.0,0.0,,,
824634,663423,,,,2.0,2.0,2.0
824634,663538,0.0,0.0,0.0,,,
824634,664023,1.0,1.0,0.0,,,
824634,665804,0.0,0.0,0.0,,,
824634,666152,,,,,,
824634,666171,,,,,,
824634,666310,,,,,,
824634,668930,0.0,0.0,0.0,,,
824634,668941,,,,1.0,3.0,0.0
824634,669003,,,,,,
824634,669020,,,,1.0,5.0,0.0
824634,669084,,,,,,
824634,669160,,,,,,
824634,672356,,,,,,
824634,673548,0.0,0.0,0.0,,,
824634,675660,,,,,,
824634,676879,,,,0.0,3.0,0.0
824634,681230,0.0,0.0,0.0,,,
824634,681982,,,,,,
824634,682842,,,,1.0,3.0,0.0
824634,683734,2.0,2.0,0.0,,,
824634,683737,0.0,0.0,0.0,,,
824634,684007,,,,,,
824634,686217,0.0,0.0,0.0,,,
824634,687401,1.0,1.0,0.0,,,
824634,688107,,,,,,
824634,690986,,,,,,
824634,691718,1.0,1.0,0.0,,,
824634,694037,,,,0.0,3.0,2.0
824634,694192,4.0,8.0,1.0,,,
824634,694477,,,,,,
824634,694819,,,,5.0,12.0,5.0
824634,699393,,,,,,
824634,701656,,,,,,
824634,800325,1.0,1.0,0.0,,,
824634,806198,2.0,2.0,0.0,,,
824634,807713,1.0,3.0,0.0,,,
